datetime,temperature,humidity
2025-05-01 00:00:00,18.5,65.2
2025-05-01 01:00:00,17.9,67.5
2025-05-01 02:00:00,17.2,69.8
2025-05-01 03:00:00,16.8,71.0
2025-05-01 04:00:00,16.5,72.3
2025-05-01 05:00:00,16.2,73.1
2025-05-01 06:00:00,16.7,72.5
2025-05-01 07:00:00,17.6,70.8
2025-05-01 08:00:00,19.3,65.2
2025-05-01 09:00:00,21.4,59.7
2025-05-01 10:00:00,23.5,54.3
2025-05-01 11:00:00,25.2,50.1
2025-05-01 12:00:00,26.1,48.5
2025-05-01 13:00:00,26.8,47.2
2025-05-01 14:00:00,27.2,46.5
2025-05-01 15:00:00,26.9,47.8
2025-05-01 16:00:00,26.0,49.3
2025-05-01 17:00:00,24.5,53.6
2025-05-01 18:00:00,23.1,56.8
2025-05-01 19:00:00,22.0,59.4
2025-05-01 20:00:00,21.2,61.7
2025-05-01 21:00:00,20.5,62.9
2025-05-01 22:00:00,19.8,63.8
2025-05-01 23:00:00,19.2,64.5
